# cluster coupling factor (Hz): 116.621
# f_DD: 0.06
# scan time: 0.001

# w_scan coherence
995637 0.962101
995923 0.96095
996209 0.961097
996495 0.962461
996780 0.964865
997066 0.96806
997352 0.971748
997638 0.975612
997923 0.979343
998209 0.982665
998495 0.985357
998781 0.987269
999066 0.988466
999352 0.988344
999638 0.987472
999924 0.986019
1.00021e+06 0.984193
1.0005e+06 0.982224
1.00078e+06 0.980342
1.00107e+06 0.978755
1.00135e+06 0.977634
1.00164e+06 0.977095
1.00192e+06 0.977198
1.00221e+06 0.977934
1.0025e+06 0.979234
1.00278e+06 0.980969
1.00307e+06 0.982963
1.00335e+06 0.985007
1.00364e+06 0.986879
1.00392e+06 0.988359
1.00421e+06 0.989255
1.0045e+06 0.989416
1.00478e+06 0.988756
1.00507e+06 0.987258
1.00535e+06 0.985278
1.00564e+06 0.9821
1.00592e+06 0.978479
1.00621e+06 0.97469
1.0065e+06 0.971044
1.00678e+06 0.967856
1.00707e+06 0.965425
1.00735e+06 0.964003
1.00764e+06 0.963771
1.00792e+06 0.96482
1.00821e+06 0.967131
1.0085e+06 0.970568
1.00878e+06 0.974868
1.00907e+06 0.97965
1.00935e+06 0.984418
1.00964e+06 0.988586
1.00993e+06 0.991499
1.01021e+06 0.992463
1.0105e+06 0.990788
1.01078e+06 0.985821
1.01107e+06 0.976996
1.01135e+06 0.963866
1.01164e+06 0.947317
1.01193e+06 0.924766
1.01221e+06 0.897549
1.0125e+06 0.86598
1.01278e+06 0.830579
1.01307e+06 0.79206
1.01335e+06 0.751305
1.01364e+06 0.70933
1.01393e+06 0.667249
1.01421e+06 0.626231
1.0145e+06 0.587455
1.01478e+06 0.552066
1.01507e+06 0.52113
1.01535e+06 0.495599
1.01564e+06 0.476266
1.01593e+06 0.463739
1.01621e+06 0.458414
1.0165e+06 0.460453
1.01678e+06 0.469782
1.01707e+06 0.486087
1.01736e+06 0.508829
1.01764e+06 0.537262
1.01793e+06 0.566782
1.01821e+06 0.604371
1.0185e+06 0.64458
1.01878e+06 0.686219
1.01907e+06 0.728114
1.01936e+06 0.769159
1.01964e+06 0.808354
1.01993e+06 0.844838
1.02021e+06 0.877918
1.0205e+06 0.907081
1.02078e+06 0.931998
1.02107e+06 0.952527
1.02136e+06 0.968698
1.02164e+06 0.980698
1.02193e+06 0.988849
1.02221e+06 0.993582
1.0225e+06 0.995407
1.02278e+06 0.994889
1.02307e+06 0.992612
1.02336e+06 0.989152
1.02364e+06 0.985053
1.02393e+06 0.980806
1.02421e+06 0.975538
1.0245e+06 0.972086
1.02478e+06 0.969559
1.02507e+06 0.968094
1.02536e+06 0.967734
1.02564e+06 0.968436
1.02593e+06 0.970088
1.02621e+06 0.972522
1.0265e+06 0.975534
1.02679e+06 0.9789
1.02707e+06 0.982392
1.02736e+06 0.985797
1.02764e+06 0.988926
1.02793e+06 0.991625
