# w_larmor A_perp
942382 1248.88
942059 149.537
942642 2295.04
942165 827.367
943050 1671.82
942319 1073.46
942325 1158.97
942337 1047.71
941899 731.31
942524 2287.55
941857 167.26
942008 953.586
942380 1769.29
941684 292.982
943033 1478.97
942153 405.204
942220 783.153
941900 424.846
941913 1658
942688 2504.76
942866 2327.24
941791 805.649
942165 499.842
942044 315.635
942031 368.632
942085 1056.99
942551 1929.2
942889 1987.89
942238 1158.84
942064 301.596
942453 1568.25
942644 1553.03
942891 1546.37
942073 256.321
942138 217.373
942441 1252.57
