# cluster coupling factor (Hz): 62.9562
# f_DD: 0.06
# scan time: 0.001

# w_scan coherence
973936 0.955944
974234 0.943639
974532 0.925223
974831 0.900444
975129 0.869351
975427 0.832319
975726 0.790055
976024 0.743572
976322 0.694153
976621 0.643281
976919 0.592573
977217 0.54369
977516 0.498258
977814 0.457789
978112 0.423629
978411 0.396885
978709 0.378433
979007 0.368852
979306 0.368476
979604 0.377334
979902 0.395195
980201 0.415228
980499 0.449562
980797 0.490608
981096 0.536959
981394 0.586953
981692 0.638715
981991 0.690231
982289 0.739488
982587 0.784574
982886 0.823853
983184 0.856069
983482 0.880482
983781 0.896896
984079 0.905713
984377 0.907855
984676 0.904693
984974 0.897904
985272 0.889314
985571 0.880728
985869 0.873784
986167 0.869802
986466 0.866033
986764 0.869208
987062 0.877021
987360 0.888977
987659 0.904072
987957 0.920816
988255 0.937288
988554 0.951206
988852 0.960012
989150 0.961015
989449 0.95153
989747 0.929066
990045 0.891546
990344 0.837449
990642 0.766081
990940 0.677596
991239 0.573181
991537 0.454969
991835 0.326023
992134 0.19015
992432 0.0517044
992730 -0.0846335
993029 -0.216694
993327 -0.336811
993625 -0.441323
993924 -0.526595
994222 -0.589742
994520 -0.628676
994819 -0.64211
995117 -0.629697
995415 -0.59189
995714 -0.530044
996012 -0.446321
996310 -0.343608
996609 -0.225478
996907 -0.0959875
997205 0.0404575
997504 0.179295
997802 0.316071
998100 0.446599
998399 0.567219
998697 0.674935
998995 0.767556
999294 0.849455
999592 0.907532
999890 0.948913
1000189 0.974825
1000487 0.987093
1000785 0.987962
1001084 0.979932
1001382 0.965616
1001680 0.947556
1001978 0.928132
1002277 0.909434
1002575 0.893181
1002873 0.880682
1003172 0.872783
1003470 0.869884
1003768 0.871954
1004067 0.878579
1004365 0.889026
1004663 0.902344
1004962 0.917431
1005260 0.933159
1005558 0.950947
1005857 0.964465
1006155 0.97565
1006453 0.984019
1006752 0.989349
1007050 0.991652
